variable,year,region,value,clim,anomaly
tmean,2026,Andina,19.531388339600753,19.713509673021505,-0.18212133342075276
tmean,2026,Pacifica,22.07787829268369,21.476950913968096,0.6009273787155927
tmean,2026,Orinoquia,27.749298216079477,26.296113187300026,1.4531850287794512
tmean,2026,Amazonia,26.235144866160596,25.033584825984235,1.2015600401763606
tmean,2026,Colombia,24.790878748204783,24.05807393986415,0.7328048083406316
tmax_mean,1991,Caribe,30.965908932400843,31.17120337851442,-0.2052944461135766
tmax_mean,1991,Andina,23.615478266908152,24.1532379563675,-0.5377596894593495
tmax_mean,1991,Pacifica,24.785421828817714,24.951161462046255,-0.16573963322854013
tmax_mean,1991,Orinoquia,29.748194775574685,30.7059995743421,-0.9578047987674161
tmax_mean,1991,Amazonia,29.261557502171833,29.235361397029138,0.026196105142695103
tmax_mean,1991,Colombia,27.969003915048525,28.324168714931773,-0.3551647998832479
tmax_mean,1992,Caribe,31.699209869248428,31.17120337851442,0.5280064907340076
tmax_mean,1992,Andina,24.738230031978173,24.1532379563675,0.5849920756106712
tmax_mean,1992,Pacifica,25.425290539613126,24.951161462046255,0.4741290775668716
tmax_mean,1992,Orinoquia,30.954504829450844,30.7059995743421,0.24850525510874277
tmax_mean,1992,Amazonia,29.315268383388208,29.235361397029138,0.07990698635907023
tmax_mean,1992,Colombia,28.63497361698794,28.324168714931773,0.31080490205616584
tmax_mean,1993,Caribe,30.186589654640393,31.17120337851442,-0.9846137238740269
tmax_mean,1993,Andina,23.2789289054605,24.1532379563675,-0.8743090509070015
tmax_mean,1993,Pacifica,24.646958984264078,24.951161462046255,-0.3042024777821766
tmax_mean,1993,Orinoquia,28.738131865911537,30.7059995743421,-1.967867708430564
tmax_mean,1993,Amazonia,27.809742554824613,29.235361397029138,-1.4256188422045248
tmax_mean,1993,Colombia,27.055489914661656,28.324168714931773,-1.2686788002701164
tmax_mean,1994,Caribe,29.58248404407109,31.17120337851442,-1.5887193344433292
tmax_mean,1994,Andina,22.942047082662683,24.1532379563675,-1.211190873704819
tmax_mean,1994,Pacifica,24.067841834084124,24.951161462046255,-0.8833196279621305
tmax_mean,1994,Orinoquia,29.335199836810773,30.7059995743421,-1.3707997375313283
tmax_mean,1994,Amazonia,28.462719864831968,29.235361397029138,-0.77264153219717
tmax_mean,1994,Colombia,27.225443001253208,28.324168714931773,-1.098725713678565
tmax_mean,1995,Caribe,31.278290778594503,31.17120337851442,0.10708740008008277
tmax_mean,1995,Andina,23.95499523431977,24.1532379563675,-0.19824272204773052
tmax_mean,1995,Pacifica,25.12290944079317,24.951161462046255,0.1717479787469145
tmax_mean,1995,Orinoquia,30.448917814687842,30.7059995743421,-0.25708175965425895
tmax_mean,1995,Amazonia,29.277375197729533,29.235361397029138,0.04201380070039562
tmax_mean,1995,Colombia,28.272607873189077,28.324168714931773,-0.051560841742695374
tmax_mean,1996,Caribe,29.631871393938333,31.17120337851442,-1.539331984576087
tmax_mean,1996,Andina,23.11741419539335,24.1532379563675,-1.03582376097415
tmax_mean,1996,Pacifica,24.25088933935469,24.951161462046255,-0.7002721226915654
tmax_mean,1996,Orinoquia,31.207964799331577,30.7059995743421,0.5019652249894762
tmax_mean,1996,Amazonia,29.327900319294304,29.235361397029138,0.09253892226516669
tmax_mean,1996,Colombia,28.018136646533133,28.324168714931773,-0.3060320683986397
tmax_mean,1997,Caribe,31.463832997806335,31.17120337851442,0.29262961929191533
tmax_mean,1997,Andina,24.160635794625094,24.1532379563675,0.007397838257592326
tmax_mean,1997,Pacifica,25.42237673201603,24.951161462046255,0.47121526996977536
tmax_mean,1997,Orinoquia,30.87043023685227,30.7059995743421,0.16443066251016702
tmax_mean,1997,Amazonia,29.694857992267764,29.235361397029138,0.45949659523862607
tmax_mean,1997,Colombia,28.61047071543644,28.324168714931773,0.2863020005046657
tmax_mean,1998,Caribe,32.245389252409794,31.17120337851442,1.0741858738953738
tmax_mean,1998,Andina,25.344144057577846,24.1532379563675,1.190906101210345
tmax_mean,1998,Pacifica,26.24953034168712,24.951161462046255,1.298368879640865
tmax_mean,1998,Orinoquia,31.1840338438478,30.7059995743421,0.4780342695056987
tmax_mean,1998,Amazonia,29.97038198999086,29.235361397029138,0.7350205929617211
tmax_mean,1998,Colombia,29.18985533907719,28.324168714931773,0.8656866241454182
